gene,expected_fc,observed_log2fc,pvalue_adj,significant,rank
GPX1,-1.4,-0.2977120766656367,0.5144788515967984,False,5114
PDX1,-2.2,-0.6487844742979325,0.1705514812034548,False,100
TCF7L2,1.4,0.02817474350770465,0.9631745758802363,False,18421
G6PC,1.8,0.15260033117818408,0.7572487044276074,False,11658
SOD2,-1.5,-0.4247826766049604,0.34867220584130604,False,1745
RBP4,1.9,0.6698235111707271,0.15499597667873918,False,63
NFKB1,1.8,-0.29358713023143257,0.5234757390078966,False,5234
SOD1,-1.6,-0.6905337142717085,0.14397391360334305,False,46
PFKM,-1.4,-0.5049109742690376,0.2734331958808473,False,706
PPARG,-1.6,-0.5959417637725026,0.19671771411199052,False,211
NKX6-1,-2.0,-0.5578358589840653,0.2256822667804758,False,364
HK2,-1.5,-0.3307477440584312,0.4658980411307003,False,4011
SLC30A8,-1.6,-0.3085340748807039,0.497118703970435,False,4743
HNF4A,-1.5,-0.537616450089287,0.24716154243077015,False,470
NEUROD1,-1.9,-0.15336746328162584,0.7554999222308769,False,11620
GCK,-2.0,-0.6007607768288616,0.19571506030826136,False,199
IL1B,2.1,0.4793298390861583,0.3010181766798913,False,951
PIK3CA,-1.4,-0.5045598596928074,0.27358871273924235,False,716
IL6,2.5,0.4435527035462722,0.33269883911388437,False,1422
RETN,2.2,0.24191414954496576,0.6009386274339742,False,7360
IRS1,-1.8,-0.43327642468361693,0.34124544805903584,False,1590
GLP1R,-1.7,-0.6296118099901142,0.1745903431157592,False,121
DPP4,1.5,0.16339844232498074,0.7384696605643256,False,11095
KCNJ11,-1.5,-0.792133002373441,0.07016466496559765,False,3
CCL2,2.0,0.4281399424285951,0.3448380317341128,False,1688
TNF,2.3,0.3974395802522811,0.37318960981509264,False,2261
CAT,-1.7,-0.32646663291797595,0.472752954956979,False,4142
LEP,1.8,0.1925106938611675,0.6834021017155263,False,9688
FGF21,1.6,0.07968746360074631,0.8819327429120641,False,15602
INS,-2.5,-0.8192065879069064,0.07016466496559765,False,9
ICAM1,1.9,0.40259421772110915,0.37090142457486025,False,2185
INSR,-1.5,-0.5890441385557166,0.2012893252880385,False,241
AKT2,-1.3,-0.1302870317252678,0.7971263787747941,False,12834
PAX6,-1.7,-0.5006708238779491,0.27479370314788754,False,758
IRS2,-1.6,-0.39900956383768804,0.37318960981509264,False,2262
GLUT4,-1.9,-0.4148434608887568,0.3595687376969152,False,1923
GLUT2,-1.7,-0.46377512580300806,0.31121441928220567,False,1152
FASN,1.5,0.22078400032364442,0.6364592815911185,False,8315
ADIPOQ,-2.1,-0.6194169679505719,0.17797601720867406,False,154
